,quality,article_length,num_wikilinks,num_external_links,num_images,info_noise,num_refs,num_headings
Cousin Bette,7.0,6859,522,76,14,0.2783204548768042,119,19
Sheep,7.0,8450,1037,109,26,0.2450887573964497,159,28
Baden-Powell House,7.0,1301,246,24,6,0.3305149884704074,13,8
Myst III: Exile,7.0,2092,213,33,3,0.3068833652007648,31,8
Neville Cardus,7.0,6932,709,53,11,0.2670225043277553,13,20
Wallis Simpson,7.0,5043,763,27,9,0.2922863374975213,142,18
Bull Run River (Oregon),7.0,5066,431,62,18,0.2289774970390841,3,18
Typhoon Rusa,7.0,1921,297,26,4,0.30973451327433627,5,8
U.S. Route 30 in Iowa,7.0,3524,437,47,12,0.2267309875141884,49,14
Mercury (planet),7.0,7235,1231,252,38,0.21796821008984105,6,25
Quark,7.0,3968,751,99,11,0.21673387096774194,5,19
Witchfinder General (film),7.0,5779,361,42,2,0.25506142931302994,46,13
Hurricane Kyle (2002),7.0,1913,244,50,7,0.2754835337166754,45,8
2003 Pacific hurricane season,7.0,2969,252,67,37,0.17918491074435838,36,26
Porbeagle,7.0,5518,568,49,12,0.2796303008336354,58,17
Russian battleship Retvizan,7.0,3458,320,7,5,0.2874493927125506,1,15
Typhoon Tip,7.0,1549,229,23,5,0.32730794060684315,1,7
Psilocybin,7.0,7618,2330,251,17,0.2519033867156734,6,30
Amazing Grace,7.0,6765,480,24,8,0.24464153732446414,9,13
Joy Division,7.0,3811,395,18,4,0.2891629493571241,80,14
Battle of The Cedars,7.0,2386,284,31,5,0.26236378876781224,41,13
Perseus (constellation),7.0,2859,805,135,4,0.28996152500874434,82,11
WINC (AM),7.0,2340,603,99,2,0.3175213675213675,1,13
1962 South Vietnamese Independence Palace bombing,7.0,2132,245,3,6,0.32879924953095685,17,8
Liberty Head nickel,7.0,2499,294,8,9,0.27490996398559425,1,10
Lettuce,7.0,3703,419,51,10,0.27194166891709426,54,15
Mutiny on the Bounty,7.0,7887,789,20,13,0.25523012552301255,12,26
